       Unnamed: 0          gene_id                           gene_type     logFC    AveExpr
0           14541           ANP32C                processed_pseudogene  0.449818   0.073973
1           14546             RNU6                               snRNA  0.380944   0.169837
2           14099             RP11                processed_pseudogene  0.404280   1.456532
3           14034            QRFPR                      protein_coding  0.488620  -1.745303
4            9189         AC019068                           antisense  0.332324   1.162603
5            3525         OR10AE1P              unprocessed_pseudogene  0.320190  -1.362672
6           11271             RP11              unprocessed_pseudogene  0.378185  -1.484495
7           14945              CTD                           antisense  0.406176  -1.570881
8            9527            GRIP2                      protein_coding  0.382598   1.276075
9            5970          THUMPD2                      protein_coding  0.330998  -1.060410
10          11845          KRT8P13                processed_pseudogene  0.333481   1.473589
11          15792             RP11                processed_pseudogene  0.350729  -0.565218
12           6215          SNORD78                              snoRNA  0.315667   1.129661
13           7389         AC009303                processed_pseudogene  0.649235  -1.953020
14          17836              RP1                             lincRNA  0.324991   1.705508
15          15540            FGF10                           antisense  0.302033   0.889584
16          12780             RP11                           antisense  0.310844   0.545556
17          14544             RP11                processed_pseudogene  0.307143   0.947555
18           8596            RAPH1                      protein_coding  0.319650  -0.214422
19          15544             RP11                           antisense  0.294505   0.079907
20          18832         TBC1D22B                      protein_coding  0.342719  -0.153329
21          10224            GPR62                      protein_coding  0.366115   0.297648
22           9979            LARS2                           antisense  0.340683  -0.955182
23          17887              NaN                               miRNA  0.273137   0.593195
24          18131          C6orf62                      protein_coding  0.375596  -1.275152
25          10157              CTD                           antisense  0.405950  -1.298034
26           4055              NaN                     rRNA_pseudogene  0.308945  -1.431407
27          18519            XXbac              unprocessed_pseudogene  0.339819   0.813700
28          12042         CYP2AB1P      transcribed_unitary_pseudogene  0.259552  -0.731860
29          12265      RNU6ATAC24P                               snRNA -0.316613  -1.240914
30          13564             RP11                processed_pseudogene  0.344247   1.181007
31          14542             RP11                processed_pseudogene  0.288986   0.963753
32          12770             RNU6                               snRNA  0.284058  -0.736590
33           9958            ZNF35                      protein_coding  0.347178  -0.428500
34          14566             RP11                processed_pseudogene  0.374690  -0.129425
35          15465        LINC00603                             lincRNA  0.252695  -0.535954
36          15250            Y_RNA                            misc_RNA  0.337943  -1.274593
37          11697             GFM1                      protein_coding  0.290495   3.840237
38          11797             RNU2                               snRNA  0.285999   3.448270
39          11347           IL20RB                      protein_coding  0.272109   1.366712
40          18853              RP1                processed_pseudogene  0.493059  -1.446008
41          17665             RP11                             lincRNA  0.646881  -2.173428
42           8315         AC080125                processed_pseudogene  0.222345   4.088902
43            621           AKR7A3                      protein_coding  0.258841  -0.277349
44          14525         AC005150                             lincRNA  0.295812  -0.250175
45          15889          RPL7P22                processed_pseudogene  0.342317  -0.566906
46           8703          HSPA8P6                processed_pseudogene  0.296353   1.213962
47           3857             DNM3                      sense_intronic  0.249842   2.772745
48           4184              NaN                            misc_RNA  0.281264   1.339071
